/l/users/speech_lab/ArabicSpeechCorpus/ArabicSpeechCorpus16K/		
train/ARA NORM  0002.wav	244457	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0003.wav	105360	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0004.wav	223287	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0005.wav	58082	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0006.wav	162449	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0007.wav	288311	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0008.wav	288593	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0009.wav	265015	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0010.wav	75575	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0011.wav	69009	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0012.wav	59021	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0013.wav	121911	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0014.wav	64653	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0015.wav	142988	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0016.wav	108941	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0017.wav	210406	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0018.wav	271373	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0019.wav	135991	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0020.wav	125329	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0021.wav	181644	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0022.wav	138470	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0023.wav	220046	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0024.wav	103272	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0025.wav	105360	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0026.wav	241211	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0027.wav	102544	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0028.wav	83767	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0029.wav	261687	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0030.wav	302903	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0031.wav	102962	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0032.wav	61581	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0033.wav	112682	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0034.wav	217655	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0035.wav	99127	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0036.wav	66100	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0037.wav	79109	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0038.wav	76173	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0039.wav	113975	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0040.wav	179520	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0041.wav	113890	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0042.wav	74466	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0043.wav	63291	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0044.wav	179255	speaker_embedding/ASC_speaker_embedding.npy
train/ARA NORM  0045.wav	118413	speaker_embedding/ASC_speaker_embedding.npy
